                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.67528,                0.36006,                0.32395,                0.76209,                0.99021,                0.98844,                0.99406,                0.79671,                0.98716,                0.98531,                0.98995,                0.72154,                0.63986,                0.38224,                0.32613,                 0.7252,             0.00076501,             0.00076501,             0.00076501
                     50,                0.67484,                0.35903,                0.32522,                0.76363,                0.98667,                0.99003,                0.99338,                0.79875,                0.98112,                0.98427,                0.98442,                0.72635,                  0.627,                0.37165,                0.31935,                0.72359,             0.00076201,             0.00076201,             0.00076201
                     51,                0.67233,                0.35532,                0.32169,                0.76521,                0.99175,                0.98492,                0.99143,                0.79194,                  0.988,                0.98113,                0.98782,                0.72673,                 0.6374,                0.37046,                0.32212,                0.72628,             0.00075902,             0.00075902,             0.00075902
                     52,                0.67558,                0.36072,                0.32355,                0.76325,                0.99321,                0.98864,                0.99344,                0.79718,                0.98935,                0.98472,                0.99095,                0.72613,                0.62426,                0.37345,                0.31254,                0.72541,             0.00075602,             0.00075602,             0.00075602
                     53,                0.67594,                0.36093,                0.32435,                0.76433,                0.99301,                0.98985,                0.99267,                0.80131,                0.98915,                0.98591,                0.98874,                0.72471,                0.61763,                0.36493,                0.31077,                0.72506,             0.00075302,             0.00075302,             0.00075302
                     54,                0.68947,                0.37066,                0.33068,                0.76612,                0.98967,                0.98572,                0.99246,                0.79425,                0.98461,                0.98025,                0.98769,                0.72397,                0.63585,                0.37725,                0.32833,                 0.7235,             0.00075002,             0.00075002,             0.00075002
                     55,                0.68111,                0.35883,                0.32579,                0.76489,                0.99096,                0.98327,                0.99231,                0.79944,                0.98417,                 0.9753,                0.98874,                0.72803,                0.60387,                0.35196,                0.31018,                0.72308,             0.00074702,             0.00074702,             0.00074702
                     56,                0.65926,                0.33995,                0.31828,                0.76168,                0.99131,                0.98844,                0.99161,                0.80158,                0.98728,                0.98316,                0.98609,                0.73294,                0.60024,                 0.3396,                0.30621,                0.72109,             0.00074402,             0.00074402,             0.00074402
                     57,                0.65035,                0.33934,                0.31326,                0.75749,                0.98915,                0.98956,                0.99169,                0.80066,                0.98506,                0.98539,                0.98904,                0.72404,                0.60891,                0.34086,                0.30837,                0.72169,             0.00074102,             0.00074102,             0.00074102
                     58,                0.67011,                0.34925,                0.31982,                0.76384,                0.98477,                0.98643,                0.99073,                0.79911,                0.98176,                0.98332,                0.98933,                0.73167,                 0.6081,                0.33733,                0.31377,                0.71942,             0.00073802,             0.00073802,             0.00073802
                     59,                0.64336,                0.33172,                0.31017,                0.75626,                0.98433,                0.98815,                0.99049,                 0.8014,                0.98013,                0.98369,                0.98777,                 0.7314,                0.59217,                0.33725,                0.30222,                0.71971,             0.00073502,             0.00073502,             0.00073502
                     60,                0.64072,                0.32689,                0.31096,                0.75933,                0.98419,                0.99062,                0.99255,                0.80381,                0.98114,                0.98775,                0.99005,                0.73559,                0.59386,                0.33958,                0.30329,                0.72017,             0.00073202,             0.00073202,             0.00073202
                     61,                0.63206,                0.32413,                0.30971,                0.75872,                0.99174,                0.98821,                 0.9931,                 0.8059,                0.98765,                0.98461,                0.99171,                 0.7368,                0.58291,                0.33011,                0.30613,                0.71646,             0.00072902,             0.00072902,             0.00072902
                     62,                0.64656,                0.36369,                0.31452,                0.76216,                0.99493,                0.98583,                0.99286,                0.80364,                0.99107,                0.98211,                0.99069,                0.72607,                0.59001,                0.38666,                0.30814,                0.72027,             0.00072602,             0.00072602,             0.00072602
                     63,                0.63793,                0.35421,                0.31431,                0.76375,                0.98739,                0.98728,                0.99322,                0.80512,                0.98321,                0.98297,                0.98973,                0.73268,                  0.586,                 0.3569,                0.30325,                0.72005,             0.00072302,             0.00072302,             0.00072302
                     64,                0.63775,                   0.34,                0.31416,                0.76382,                0.98607,                0.98927,                0.99308,                0.80311,                0.98188,                0.98508,                0.98915,                0.72769,                0.60491,                0.34681,                0.31357,                0.72032,             0.00072002,             0.00072002,             0.00072002
                     65,                0.64321,                 0.3489,                0.31701,                0.76405,                0.98755,                0.98594,                0.99201,                0.80311,                0.98477,                0.98281,                 0.9909,                0.73384,                0.60675,                0.35679,                 0.3101,                0.72323,             0.00071702,             0.00071702,             0.00071702
                     66,                0.64751,                0.34959,                0.31638,                0.76648,                0.98464,                0.98546,                0.99178,                0.80353,                0.97872,                0.97842,                0.98788,                0.73511,                0.58954,                0.34426,                 0.3065,                0.72112,             0.00071402,             0.00071402,             0.00071402
                     67,                0.64786,                0.34073,                0.31788,                0.76595,                0.99149,                0.98681,                0.99295,                 0.8036,                0.98842,                0.98368,                0.99081,                0.73235,                0.60072,                0.33201,                 0.3161,                0.72478,             0.00071102,             0.00071102,             0.00071102
                     68,                0.63181,                 0.3334,                 0.3104,                0.76393,                 0.9908,                0.98766,                 0.9928,                0.80342,                0.98625,                0.98347,                 0.9911,                0.74175,                0.58179,                0.32538,                0.30031,                0.71938,             0.00070802,             0.00070802,             0.00070802
                     69,                0.62533,                0.31459,                0.30441,                0.76382,                0.98476,                0.98685,                0.99212,                0.80642,                0.98067,                0.98268,                0.98968,                 0.7427,                0.57339,                0.32325,                0.29811,                0.71909,             0.00070502,             0.00070502,             0.00070502
                     70,                0.65179,                0.32475,                 0.3132,                0.76451,                 0.9895,                0.98721,                0.99326,                0.80392,                0.98577,                0.98297,                0.99107,                0.73738,                0.59538,                 0.3312,                0.30791,                0.72524,             0.00070202,             0.00070202,             0.00070202
                     71,                0.63887,                 0.3271,                0.30948,                0.76483,                0.98855,                0.98754,                0.99176,                 0.8019,                0.98451,                0.98335,                0.98777,                0.73938,                0.60542,                 0.3318,                0.30681,                0.72423,             0.00069902,             0.00069902,             0.00069902
                     72,                0.64128,                0.33254,                0.31141,                0.76353,                 0.9925,                 0.9889,                0.99335,                0.80661,                0.98826,                0.98283,                0.98992,                0.73563,                0.58015,                0.33737,                0.29218,                 0.7178,             0.00069602,             0.00069602,             0.00069602
                     73,                0.61944,                0.31261,                0.30321,                0.76052,                0.98962,                0.98697,                0.99248,                0.80416,                0.98469,                0.98032,                0.98902,                0.74451,                0.57843,                0.32039,                0.29609,                0.71831,             0.00069302,             0.00069302,             0.00069302
